Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000132,10000132,1472,721,1463,2331,322.31,1486,0,0,0
20000000,20000129,20000129,1472,731,1450,2144,305.79,1538,0,0,0
30000000,26281253,30000056,1472,20566,27095,30130,2072.88,27857,0,0,0
40000000,25694728,40000143,1472,23322,32317,38886,4514.03,34503,0,0,0
50000000,25096808,49999986,1472,24481,37082,124323,7151.28,40375,0,0,0
60000000,25203928,60000069,1472,26047,40957,91924,9206.01,45483,0,0,0
70000000,25518345,70000066,1472,24760,43874,107604,11212.81,40203,0,0,0
80000000,24660196,80000163,1472,25967,54765,86218,16185.68,49995,0,0,0
90000000,24700812,90000045,1472,25151,64324,116518,21704.98,59122,0,0,0
100000000,24702160,100000019,1472,25584,86108,156165,29935.83,81238,0,0,0
200000000,20170060,199999879,1472,44767,199855,327553,54115.59,196594,0,0,0
300000000,20299766,300000097,1472,31836,205675,341591,55196.35,202275,0,0,0
400000000,23321334,400000003,1472,44709,195932,352582,63152.87,195901,0,0,0
500000000,19301355,499999728,1472,53061,213279,363517,55528.83,209277,0,0,0
600000000,23064949,600000058,1472,121285,211826,379603,55109.41,207798,0,0,0
700000000,17807128,699999964,1472,106091,220563,391321,57131.21,216753,0,0,0
800000000,22091823,800000105,1472,123587,217140,379598,56005.40,213691,0,0,0
900000000,21622176,899999929,1472,126394,221129,388588,57675.49,217577,0,0,0
1000000000,24770555,999999846,1472,55150,218831,401632,58452.39,215228,0,0,0